,,,,,,,,MEDIAN PRICE,,MEDIAN QUARTERLY,,MEDIAN 12 MONTH,,MEDIAN 3 YEARS,,MEDIAN 5 YEARS,,10 YEARS AVERAGE ANNUAL,,Weekly media advert. rent,,Time on Market,,Gross Rental Yield Percent,,,,,,,,,,,
SUBURBS,STATE,POSTCODE,,,DISTANCE FROM CBD (KM),POPULATION,5 YEAR CHANGE,HOUSE,UNIT,HOUSE,UNIT,HOUSE,UNIT,HOUSE,UNIT,HOUSE,UNIT,HOUSE,UNIT,HOUSE,UNIT,HOUSE,HOUSE,HOUSE,HOUSE,WEEKLY HOUSEHOLD INCOME MEDIAN,WEEKLY GROSS HOUSEHOLD INCOME MEAN,WEEKLY NET MEAN INCOME,HHOLD SIZE,OCCUPATION,AGE,MONTHLY LOAN REPAYMENT,20% Deposit,Current Savings Rate,Numbers of years (Based on Savings Rate)
Collarenebri,NSW,2833,,,554,634,3.00%,"$32,500",,-23.53%,N/A,-18.75%,N/A,0.00%,N/A,0.00%,N/A,-24.50%,N/A,N/A,,N/A,N/A,0.00%,0.00%,907,"$1,069",$904,2.5,0.0%,38,479,"$6,500","$4,700",1
Andamooka,SA,5722,https://www.smartpropertyinvestment.com.au/data/sa/5722/andamooka,,,,,"$66,000",,0.00%,,2.33%,,0.00%,,0.00%,,24.58%,,N/A,,N/A,,0.00%,,708,,$651,1.8,0.0%,53,929,"$13,200","$3,386",4
Kendenup,WA,6323,https://www.smartpropertyinvestment.com.au/data/wa/6323/kendenup,,,,,"$67,500",,3.85%,,0.00%,,0.00%,,0.00%,,-11.02%,,N/A,,69 days,,0.00%,,921,"$1,130",$946,2.2,0.0%,51,1229,"$13,500","$4,917",3
Brewarrina,NSW,2839,,,,,,"$69,000",,0.00%,N/A,0.00%,N/A,-27.37%,N/A,0.00%,N/A,-3.49%,N/A,N/A,,N/A,N/A,0.00%,0.00%,893,"$1,001",$858,2.6,0.0%,34,440,"$13,800","$4,460",3
Menindee,NSW,2879,,,810,537,3.00%,"$70,000",,-12.50%,,0.00%,,-1.41%,,0.00%,,0.00%,,N/A,,N/A,N/A,0.00%,0.00%,803,"$1,259","$1,033",2.2,0.0%,46,650,"$14,000","$5,374",3
Lightning Ridge,NSW,2834,,,,,,"$77,500",,0.00%,,0.00%,,3.33%,,146.07%,,20.13%,,N/A,,99.6 days,99.6 days,0.00%,0.00%,676,$937,$814,2,8.8%,51,846,"$15,500","$4,233",4
Ungarie,NSW,2669,,,398,396,29.00%,"$79,000",,0.00%,N/A,0.00%,N/A,-16.40%,N/A,2.60%,N/A,18.91%,N/A,N/A,,N/A,N/A,0.00%,0.00%,1009,$963,$832,2.4,0.0%,45,600,"$15,800","$4,326",4
Coober Pedy,SA,5723,https://www.smartpropertyinvestment.com.au/data/sa/5723/coober-pedy,,,,,"$81,250",,-4.41%,,-2.69%,,27.45%,,60.10%,,2.57%,,N/A,,86.5 days,,0.00%,,841,"$1,082",$913,1.9,0.0%,44,556,"$16,250","$4,749",3
Mount Magnet,WA,6638,https://www.smartpropertyinvestment.com.au/data/wa/6638/mount-magnet,,,,,"$85,000",,-10.53%,,6.25%,,80.85%,,0.00%,,8.12%,,N/A,,N/A,,0.00%,,1110,"$1,323","$1,077",2.4,27.3%,42,442,"$17,000","$5,599",3
